date,pressconf,scheduled
12/16/1986,0,1
2/11/1987,0,1
2/23/1987,0,0
3/31/1987,0,1
4/29/1987,0,0
5/19/1987,0,1
7/7/1987,0,1
8/18/1987,0,1
9/22/1987,0,1
10/19/1987,0,0
10/20/1987,0,0
10/21/1987,NA,0
10/22/1987,NA,0
10/23/1987,NA,0
10/26/1987,NA,0
10/27/1987,NA,0
10/28/1987,NA,0
10/29/1987,NA,0
10/30/1987,NA,0
11/3/1987,0,1
12/16/1987,0,1
1/5/1988,0,0
2/10/1988,0,1
3/29/1988,0,1
5/17/1988,0,1
6/30/1988,0,1
7/19/1988,0,0
8/16/1988,0,1
9/20/1988,0,1
10/17/1988,0,0
11/1/1988,0,1
11/22/1988,0,0
12/14/1988,0,1
2/8/1989,0,1
3/28/1989,0,1
5/16/1989,0,1
5/31/1989,0,0
6/5/1989,0,0
7/6/1989,0,1
7/26/1989,0,0
8/22/1989,0,1
10/3/1989,0,1
10/16/1989,0,0
10/17/1989,0,0
10/18/1989,0,0
11/14/1989,0,1
12/19/1989,0,1
2/7/1990,0,1
3/27/1990,0,1
4/11/1990,0,0
5/15/1990,0,1
7/3/1990,0,1
8/21/1990,0,1
9/7/1990,0,0
9/17/1990,0,0
10/2/1990,0,1
11/13/1990,0,1
12/7/1990,0,0
12/18/1990,0,1
1/9/1991,0,0
2/1/1991,0,0
2/6/1991,0,1
3/26/1991,0,1
4/12/1991,0,0
4/30/1991,0,0
5/1/1991,0,0
5/14/1991,0,1
6/10/1991,0,0
6/24/1991,0,0
7/3/1991,0,1
8/5/1991,0,0
8/20/1991,0,1
9/13/1991,0,0
10/1/1991,0,1
10/30/1991,0,0
11/5/1991,0,1
12/2/1991,0,0
12/17/1991,0,1
1/9/1992,0,0
2/5/1992,0,1
3/11/1992,0,0
3/31/1992,0,1
5/19/1992,0,1
7/1/1992,0,1
7/2/1992,0,0
8/18/1992,0,1
10/6/1992,0,1
11/17/1992,0,1
12/14/1992,0,0
12/22/1992,0,1
1/6/1993,0,0
2/3/1993,0,1
2/18/1993,0,0
3/1/1993,0,0
3/23/1993,0,1
5/18/1993,0,1
7/7/1993,0,1
8/17/1993,0,1
9/21/1993,0,1
10/5/1993,0,0
10/15/1993,0,0
10/22/1993,0,0
11/9/1993,0,0
11/10/1993,0,0
11/16/1993,0,1
12/21/1993,0,1
2/4/1994,0,1
2/28/1994,0,0
3/22/1994,0,1
3/24/1994,0,0
4/18/1994,0,0
5/17/1994,0,1
7/6/1994,0,1
7/20/1994,0,0
8/16/1994,0,1
9/27/1994,0,1
11/15/1994,0,1
12/20/1994,0,1
12/30/1994,0,0
1/13/1995,0,0
2/1/1995,0,1
3/10/1995,0,0
3/28/1995,0,1
4/28/1995,0,0
5/23/1995,0,1
7/6/1995,0,1
8/22/1995,0,1
9/26/1995,0,1
11/15/1995,0,1
12/19/1995,0,1
1/31/1996,0,1
3/26/1996,0,1
5/21/1996,0,1
7/3/1996,0,1
8/20/1996,0,1
9/24/1996,0,1
11/13/1996,0,1
12/17/1996,0,1
2/5/1997,0,1
3/25/1997,0,1
5/20/1997,0,1
7/2/1997,0,1
8/19/1997,0,1
9/30/1997,0,1
11/12/1997,0,1
12/16/1997,0,1
2/4/1998,0,1
3/31/1998,0,1
5/19/1998,0,1
7/1/1998,0,1
8/18/1998,0,1
9/21/1998,0,0
9/29/1998,0,1
10/15/1998,0,0
11/17/1998,0,1
12/22/1998,0,1
2/3/1999,0,1
3/30/1999,0,1
5/18/1999,0,1
6/30/1999,0,1
8/24/1999,0,1
10/5/1999,0,1
11/16/1999,0,1
12/21/1999,0,1
2/2/2000,0,1
3/21/2000,0,1
5/16/2000,0,1
6/28/2000,0,1
